,EV,TS,P,Type,E1,D3,time1
185073,5828843,700001,100000,41018,0.0005875308557,0.0005875308557,198030.7765
186379,5829794,700001,100000,41018,0.0001776407901,0.0001776407901,244829.5362
187329,5830475,900001,100000,41018,0.0008591450685,0.0008591450685,57717.46408
189158,5831822,700001,100000,41018,0.0007014708787,0.0007014708787,243036.2209
190446,5832746,600001,100000,41018,0.0004341967216,0.0004341967216,196313.5412
191236,5833218,400001,100000,41018,5.924636569e-05,5.924636569e-05,93615.51822
192267,5833888,700001,100000,41018,0.0004991550226,0.0004991550226,25354.04771
193770,5835255,600001,100000,41018,0.0005206467219,0.0005206467219,22021.59049
194194,5835551,1100001,100000,41018,0.002026367314,0.002026367314,26782.58608
194298,5835610,800001,100000,41018,0.002469501873,0.002469501873,283386.7441
194517,5835769,900001,100000,41018,0.0006024569797,0.0006024569797,217763.2191
194666,5835784,800001,100000,41018,0.0001187953439,0.0001187953439,181897.1486
195041,5835896,600001,100000,37018,0.001225594509,0.001225594509,188649.1595
195250,5836085,500001,100000,41018,2.688133898e-05,2.688133898e-05,318621.2265
195982,5836605,500001,100000,41018,0.0004120603198,0.0004120603198,232035.826
197181,5837534,700001,100000,41018,0.000254609345,0.000254609345,375220.7781
198109,5838346,600001,100000,41018,0.000198875018,0.000198875018,167138.9414
186,5840324,600001,100000,41018,0.0008734929729,0.0008734929729,408203.2805
1546,5841446,700001,100000,41018,0.0002031472277,0.0002031472277,32662.22926
2724,5842374,1000001,100000,41018,0.001147717614,0.001147717614,230650.2337
3264,5842432,700001,100000,41018,7.365931762e-05,7.365931762e-05,657839.3804
4220,5843292,1000001,100000,41018,0.0005017615821,0.0005017615821,655127.17
4570,5843591,400001,100000,41018,0.000403070656,0.000403070656,491751.8088
6968,5845934,600001,100000,41018,0.0004234841943,0.0004234841943,68438.46936
7568,5846191,400001,100000,41018,3.003355108e-05,3.003355108e-05,72478.8848
7932,5846466,400001,100000,41018,7.339905723e-05,7.339905723e-05,191347.8157
8767,5846557,600001,100000,41018,0.0003702534624,0.0003702534624,42007.05604
9033,5846754,700001,100000,41018,0.0003753240828,0.0003753240828,305281.6114
9906,5847576,1300001,100000,41018,0.0006004762547,0.0006004762547,173983.7469
10427,5847584,700001,100000,41018,0.000482439154,0.000482439154,89794.58411
10893,5847652,700001,100000,41018,0.0009756769321,0.0009756769321,395414.2399
11215,5847725,600001,100000,41018,0.0006331109138,0.0006331109138,446597.8139
12473,5848654,600001,100000,41018,0.0001280061127,0.0001280061127,128143.3015
13645,5849537,600001,100000,41018,0.0009912415371,0.0009912415371,231254.6579
14495,5849847,700001,100000,41018,0.0003436979788,0.0003436979788,8167.407932
15805,5851003,200001,100000,41018,0.0004872061945,0.0004872061945,111276.3843
16870,5851375,400001,100000,41018,0.0001156217217,0.0001156217217,287062.4195
17380,5851650,900001,100000,41018,0.0001576802239,0.0001576802239,601516.6849
19069,5852926,800001,100000,41018,0.001260236156,0.001260236156,522822.3527
20562,5853877,1100001,100000,41018,0.00424512985,0.00424512985,1416.569829
21243,5854340,1100001,100000,41018,0.0004466851963,0.0004466851963,79286.546
22420,5855479,800001,100000,41018,0.001706553696,0.001706553696,514742.611
23755,5856560,700001,100000,41018,0.0003251346336,0.0003251346336,148742.4322
26232,5858810,700001,100000,41018,0.0007883683673,0.0007883683673,208074.2627
27648,5859907,700001,100000,41018,8.078132498e-05,8.078132498e-05,428475.3071
28992,5860639,700001,100000,41018,0.0009704696375,0.0009704696375,367572.0959
29983,5861141,900001,100000,41018,0.0002598898866,0.0002598898866,335880.2668
30265,5861199,400001,100000,41018,0.0001264261498,0.0001264261498,332371.3227
31298,5861917,800001,100000,41018,0.001096846636,0.001096846636,425829.7453
32246,5862570,500001,100000,41018,0.0002138429104,0.0002138429104,276418.5334
34195,5863978,200001,100000,41018,0.0004803639871,0.0004803639871,395658.7174
35474,5865027,600001,100000,41018,0.0007349106818,0.0007349106818,51339.44806
35647,5865137,900001,100000,41018,0.001769530357,0.001769530357,349531.2974
36572,5865850,500001,100000,37018,0.0002719363667,0.0002719363667,265159.751
36837,5866096,700001,100000,41018,0.0002628756496,0.0002628756496,138397.6922
37797,5866725,500001,100000,41018,4.207741521e-05,4.207741521e-05,393858.6142
38233,5866731,600001,100000,41018,0.0005766987684,0.0005766987684,506073.9338
38633,5867055,400001,100000,41018,0.0001238531447,0.0001238531447,472998.829
39641,5867820,700001,100000,41018,0.0004785388576,0.0004785388576,206742.9633
40597,5868724,600001,100000,41018,0.0005595692407,0.0005595692407,15400.98466
41263,5869374,500001,100000,41018,0.0004400522905,0.0004400522905,316898.5019
42905,5870948,400001,100000,41018,0.0003775375121,0.0003775375121,10487.4431
43118,5870987,600001,100000,37018,0.0006212464617,0.0006212464617,306047.7428
43520,5871365,500001,100000,41018,0.0003441201648,0.0003441201648,681377.1161
44207,5871979,800001,100000,41018,0.0007011975598,0.0007011975598,812493.923
44509,5872166,500001,100000,41018,0.0001332254174,0.0001332254174,199917.9948
47169,5874568,500001,100000,41018,0.0003859835099,0.0003859835099,217779.7901
49204,5876157,400001,100000,41018,0.0001840026139,0.0001840026139,499367.6943
50614,5877363,700001,100000,41018,0.001033955521,0.001033955521,327808.5494
50833,5877553,500001,100000,41018,0.0002982830602,0.0002982830602,495514.7553
51338,5877885,500001,100000,41018,0.000351150465,0.000351150465,10615.67878
51822,5878194,900001,100000,41018,0.0006392263406,0.0006392263406,22036.66149
52712,5878728,800001,100000,41018,0.0001726108106,0.0001726108106,13592.93807
52855,5878820,500001,100000,41018,8.471928967e-05,8.471928967e-05,125895.6505
53730,5879104,700001,100000,41018,0.0005844401671,0.0005844401671,120071.7061
54097,5879134,800001,100000,41018,0.001480193461,0.001480193461,360156.1938
54143,5879142,800001,100000,41018,0.0004349786418,0.0004349786418,460713.5523
55837,5880451,500001,100000,41018,0.0007100277568,0.0007100277568,146735.1253
56348,5880821,500001,100000,41018,0.0003239334326,0.0003239334326,21140.32554
56956,5881219,400001,100000,41018,0.0001576744789,0.0001576744789,107469.2854
57356,5881548,500001,100000,41018,0.0001751865782,0.0001751865782,416436.2397
58271,5882367,400001,100000,41018,0.0001328206402,0.0001328206402,122412.033
59350,5883368,500001,100000,41018,0.0004765493487,0.0004765493487,14073.42891
59794,5883747,600001,100000,41018,6.035214866e-05,6.035214866e-05,291451.4997
60468,5884012,700001,100000,41018,0.0004732745812,0.0004732745812,283796.3104
62702,5886005,1100001,100000,41018,0.0003239196432,0.0003239196432,37580.92088
64786,5887668,500001,100000,41018,0.0005765284112,0.0005765284112,154867.7453
66783,5889319,700001,100000,41018,0.0007302501015,0.0007302501015,56146.25108
69120,5891461,800001,100000,41018,0.000903772155,0.000903772155,92252.59879
69273,5891523,200001,100000,41018,0.000495403598,0.000495403598,128045.7528
71676,5893559,800001,100000,41018,0.001024000135,0.001024000135,324780.226
72260,5894070,600001,100000,41018,0.0004444446574,0.0004444446574,142015.396
72664,5894110,700001,100000,41018,0.0008200472764,0.0008200472764,8327.856451
73994,5895076,400001,100000,41018,0.000197153537,0.000197153537,19528.47575
76166,5897057,1300001,100000,41018,0.0008190714855,0.0008190714855,182659.5058
76437,5897283,700001,100000,41018,0.0004151382765,0.0004151382765,125477.2186
77639,5898434,600001,100000,41018,0.0004821588188,0.0004821588188,110670.2531
79225,5899444,900001,100000,41018,0.0002292682089,0.0002292682089,695747.8173
79436,5899606,500001,100000,41018,0.0007172103351,0.0007172103351,119252.5644
81691,5901636,500001,100000,41018,0.0003052451346,0.0003052451346,147575.9198
82558,5902279,600001,100000,41018,0.000348170129,0.000348170129,163751.1077
84847,5904037,400001,100000,41018,2.390518692e-05,2.390518692e-05,81260.7205
85387,5904399,500001,100000,41018,0.0001861978979,0.0001861978979,28009.36169
85574,5904541,800001,100000,41018,0.0001729756619,0.0001729756619,66765.29099
86300,5905082,1100001,100000,41018,0.001187596475,0.001187596475,379446.7913
86842,5905335,800001,100000,41018,0.0004926533114,0.0004926533114,187137.5108
87152,5905442,800001,100000,41018,0.0004001247269,0.0004001247269,11106.88165
87659,5905559,700001,100000,41018,0.001672890046,0.001672890046,128606.9042
89963,5907411,900001,100000,41018,0.0005517803509,0.0005517803509,97497.98741
90942,5908059,700001,100000,41018,0.0002079306175,0.0002079306175,168014.9509
91563,5908383,800001,100000,41018,0.001585696086,0.001585696086,47685.25514
92052,5908651,200001,100000,41018,0.0004878984848,0.0004878984848,140313.011
92745,5909128,800001,100000,41018,0.0002609026889,0.0002609026889,90972.99443
94127,5910267,600001,100000,41018,0.0002433623115,0.0002433623115,168719.2574
94268,5910391,700001,100000,41018,0.001482916978,0.001482916978,261703.6026
94557,5910437,900001,100000,41018,0.004261642043,0.004261642043,215534.7546
95618,5911152,800001,100000,41018,0.000759990491,0.000759990491,357988.9935
96077,5911576,200001,100000,41018,0.000490893079,0.000490893079,2855.003219
97089,5912276,1000001,100000,41018,0.0001374351716,0.0001374351716,123956.9995
98135,5913110,400001,100000,41018,0.0001100258072,0.0001100258072,120173.6054
99239,5913874,700001,100000,37018,0.0012596488,0.0012596488,174383.5355
99803,5914415,600001,100000,41018,0.0002277389478,0.0002277389478,59968.08991
100166,5914576,600001,100000,41018,0.0002912136701,0.0002912136701,191348.8637
101957,5915807,900001,100000,41018,0.0002147442109,0.0002147442109,127779.6562
103206,5916643,500001,100000,41018,0.0001634790436,0.0001634790436,242404.5473
105727,5918750,1200001,100000,41018,0.001830377613,0.001830377613,82131.58073
106026,5918760,500001,100000,41018,0.0002446782705,0.0002446782705,123732.1325
107104,5919465,600001,100000,41018,9.488017222e-05,9.488017222e-05,260655.2983
107270,5919602,500001,100000,41018,0.0001389464973,0.0001389464973,214766.497
109107,5921215,700001,100000,41018,9.152420889e-05,9.152420889e-05,230067.8242
109924,5921894,800001,100000,41018,0.0001655498846,0.0001655498846,611089.847
110314,5922186,500001,100000,41018,0.0002807089807,0.0002807089807,80752.57238
110935,5922661,600001,100000,41018,0.0001922790507,0.0001922790507,310762.3275
113331,5924986,800001,100000,41018,0.0001350551474,0.0001350551474,202509.2198
114320,5925664,500001,100000,41018,6.763750323e-05,6.763750323e-05,317260.2349
115757,5926971,500001,100000,41018,0.0001056594854,0.0001056594854,168178.9246
116104,5927184,800001,100000,41018,0.0006914053602,0.0006914053602,507259.9974
116408,5927329,700001,100000,41018,0.0001653669708,0.0001653669708,44067.4861
116725,5927390,500001,100000,41018,4.409603459e-05,4.409603459e-05,179622.2834
117822,5928123,500001,100000,41018,0.0004512638022,0.0004512638022,101136.3475
117944,5928159,500001,100000,41018,0.0008201958607,0.0008201958607,705776.4594
118560,5928714,900001,100000,41018,0.0002175375127,0.0002175375127,490719.0728
119723,5929420,500001,100000,41018,0.0001650465607,0.0001650465607,98465.96652
120652,5929801,900001,100000,41018,0.0001754981447,0.0001754981447,423689.6969
121059,5929844,800001,100000,41018,0.0004952034111,0.0004952034111,128026.736
121920,5930613,700001,100000,41018,0.0006333150071,0.0006333150071,107269.5056
123556,5932108,600001,100000,41018,0.00109734888,0.00109734888,316495.6227
