Ba	134-Ba	 56	134	    2.417(18)       	    1.5(3)          	1.0000	  120
Ba	135-Ba	 56	135	    6.592(12)       	    5.8(9)          	1.0000	   87
Xe	136-Xe	 54	136	    8.87(16)        	    0.26(2)         	1.0000	  113
Ba	136-Ba	 56	136	    7.854(24)       	    0.68(17)        	1.0000	   96
Ce	136-Ce	 58	136	    0.185(2)        	    6.5(10)         	 .9990	   65
Ba	137-Ba	 56	137	   11.232(24)       	    3.6(2)          	1.0000	  210
Ba	138-Ba	 56	138	   71.698(42)       	    0.40(4)         	1.0000	   48
La	138-La	 57	138	    0.090(1)        	    57(6)           	1.0030	    6
Ce	138-Ce	 58	138	    0.251(2)        	    1.02(24)        	 .9910	    9
La	139-La	 57	139	   99.910(1)        	    9.04(4)         	 .9990	  308
Ce	140-Ce	 58	140	   88.450(51)       	    0.58(2)         	 .9990	   29
Pr	141-Pr	 59	141	   100              	   11.5(3)          	 .9990	  213
Ce	142-Ce	 58	142	   11.114(51)       	    0.97(2)         	 .9980	   48
Nd	142-Nd	 60	142	   27.2(5)          	   18.7(7)          	 .9980	  208
Nd	143-Nd	 60	143	   12.2(2)          	   325(10)          	 .9960	  119
Nd	144-Nd	 60	144	   23.8(3)          	    3.6(3)          	1.0000	   16
Sm	144-Sm	 62	144	    3.07(7)         	    1.64(10)        	 .9990	    0
Nd	145-Nd	 60	145	    8.3(1)          	    42(2)           	1.0000	  123
Nd	146-Nd	 60	146	   17.2(3)          	    1.41(5)         	 .9990	   73
Sm	147-Sm	 62	147	   14.99(18)        	    57(3)           	1.0010	   22
Nd	148-Nd	 60	148	    5.7(1)          	    2.58(14)        	1.0000	  298
Sm	148-Sm	 62	148	   11.24(10)        	    2.4(6)          	1.0000	    0
Sm	149-Sm	 62	149	   13.82(7)         	 40100(600)         	1.7180	  161
Nd	150-Nd	 60	150	    5.6(2)          	    1.03(8)         	 .9990	  581
Sm	150-Sm	 62	150	    7.38(1)         	   100(4)           	 .9980	  301
Eu	151-Eu	 63	151	   47.81(3)         	  9200(300)         	 .9000	  200
Sm	152-Sm	 62	152	   26.75(16)        	   206(6)           	1.0030	  160
Gd	152-Gd	 64	152	    0.20(1)         	   735(20)          	 .9980	  503
Eu	153-Eu	 63	153	   52.19(3)         	   312(7)           	 .9660	   64
Sm	154-Sm	 62	154	   22.75(29)        	    8.3(5)          	1.0000	  136
Gd	154-Gd	 64	154	    2.18(3)         	    85(12)          	1.0000	  329
Gd	155-Gd	 64	155	   14.80(12)        	 60900(500)         	 .8430	  324
Gd	156-Gd	 64	156	   20.47(9)         	    1.8(7)          	1.0010	    0
Dy	156-Dy	 66	156	    0.06(1)         	    33(3)           	1.0090	   25
Gd	157-Gd	 64	157	   15.65(2)         	 254000(800)        	 .8520	  390
Gd	158-Gd	 64	158	   24.84(7)         	    2.2(2)          	1.0000	   20
Dy	158-Dy	 66	158	    0.10(1)         	    43(6)           	 .9890	    0
Tb	159-Tb	 65	159	   100              	   23.3(4)          	1.0000	  224
Gd	160-Gd	 64	160	   21.86(19)        	    1.4(3)          	1.0000	   98
Dy	160-Dy	 66	160	    2.34(8)         	    55(3)           	1.0090	  100
Dy	161-Dy	 66	161	   18.91(24)        	   600(25)          	 .9910	   78
Dy	162-Dy	 66	162	   25.51(26)        	   194(10)          	1.0050	  328
Er	162-Er	 68	162	    0.14(1)         	    19(2)           	1.0010	    1
Dy	163-Dy	 66	163	   24.90(16)        	   134(7)           	1.0030	   45
Dy	164-Dy	 66	164	   28.18(37)        	  2650(70)          	 .9880	  271
Er	164-Er	 68	164	    1.61(3)         	    13(2)           	1.0000	    0
Ho	165-Ho	 67	165	   100              	   64.7(12)         	1.0020	  550
Er	166-Er	 68	166	   33.61(35)        	   16.9(16)         	1.0000	   87
Er	167-Er	 68	167	   22.93(17)        	   649(8)           	1.0690	  805
Er	168-Er	 68	168	   26.78(26)        	    2.74(8)         	1.0000	  102
Yb	168-Yb	 70	168	    0.13(1)         	  2300(170)         	1.0570	  233
Tm	169-Tm	 69	169	   100              	   105(2)           	1.0050	  302
Er	170-Er	 68	170	   14.93(27)        	    8.9(3)          	1.0000	   97
Yb	170-Yb	 70	170	    3.04(15)        	    9.9(18)         	1.0010	   23
Yb	171-Yb	 70	171	   14.28(57)        	    58(4)           	 .9990	  266
Yb	172-Yb	 70	172	   21.83(67)        	    1.3(8)          	1.0000	   25
Yb	173-Yb	 70	173	   16.13(27)        	   15.5(15)         	1.0010	   44
Yb	174-Yb	 70	174	   31.83(92)        	   63.2(15)         	 .9990	  176
Hf	174-Hf	 72	174	    0.16(1)         	   549(7)           	 .9860	   23
Lu	175-Lu	 71	175	   97.41(2)         	   23.1(14)         	 .9760	  304
Yb	176-Yb	 70	176	   12.76(41)        	    2.85(5)         	1.0000	  129
Lu	176-Lu	 71	176	    2.59(2)         	  2090(70)          	1.7520	  184
Hf	176-Hf	 72	176	    5.26(7)         	    24(3)           	1.0020	    5
Hf	177-Hf	 72	177	   18.60(9)         	   373(10)          	1.0200	  308
Hf	178-Hf	 72	178	   27.28(7)         	   137(7)           	1.0030	  347
Hf	179-Hf	 72	179	   13.629(6)        	    41(3)           	 .9970	  339
Hf	180-Hf	 72	180	   35.08(16)        	   13.04(7)         	 .9970	  105
Ta	180-Ta	 73	180	    0.012(2)        	   563(60)          	1.3580	    0
W 	180-W 	 74	180	    0.12(1)         	  <150              	 .9970	    3
Ta	181-Ta	 73	181	   99.988(2)        	   20.5(5)          	1.0040	  262
W 	182-W 	 74	182	   26.50(16)        	   19.9(2)          	1.0030	  131
W 	183-W 	 74	183	   14.31(4)         	   10.3(2)          	 .9990	  211
W 	184-W 	 74	184	   30.64(2)         	    1.7(1)          	 .9990	   75
Os	184-Os	 76	184	    0.02(1)         	  3000(150)         	1.0000	   72
Re	185-Re	 75	185	   37.40(2)         	   112(2)           	1.0040	  188
W 	186-W 	 74	186	   28.42(19)        	   38.5(5)          	1.0010	  225
Os	186-Os	 76	186	    1.59(3)         	    80(13)          	 .9980	   38
Re	187-Re	 75	187	   62.60(2)         	   79.2(10)         	 .9820	  218
Os	187-Os	 76	187	    1.96(2)         	   245(40)          	 .9830	  174
Os	188-Os	 76	188	   13.24(8)         	    4.7(5)          	1.0020	  163
Os	189-Os	 76	189	   16.15(5)         	    25(4)           	1.0040	  147
Os	190-Os	 76	190	   26.26(2)         	   13.1(9)          	 .9970	   76
Pt	190-Pt	 78	190	    0.014(1)        	   142(4)           	 .9980	    0
Ir	191-Ir	 77	191	   37.3(2)          	   954(10)          	 .9960	  286
Os	192-Os	 76	192	   40.78(19)        	    3.12(16)        	1.0000	   95
Pt	192-Pt	 78	192	    0.782(7)        	   10.0(25)         	1.0010	    0
Ir	193-Ir	 77	193	   62.7(2)          	   111(5)           	1.0170	  303
Pt	194-Pt	 78	194	   32.967(99)       	    0.58(19)        	1.0000	   64
Pt	195-Pt	 78	195	   33.832(10)       	   28.5(12)         	1.0000	  235
Pt	196-Pt	 78	196	   25.242(41)       	    0.45(4)         	1.0000	   36
